job_skills,job_title,company,job_location
"Sales management, District/territory sales, Events management, Telephonebased sales, Personal selling, Customer service, Microsoft Office software, Salesforce/CRM technology, Telecommuting software, Verbal communication, Written communication, Presentation skills, Customer relationship building, Travel, Interpersonal skills, Problemsolving, Collaboration, Teamwork, Leadership, Strategic planning, Metric analysis, Financial analysis, Data analysis, Ability to lift/carry heavy objects, Adherence to laws and regulations, Business Administration, Management, Marketing",territory sale manager,scholastic,Other
"SQL, Python, VB, Tableau, Google Ads, Bing Ads, Baidu Ads, Naver Ads, Facebook Ads, Twitter Ads, Instagram Ads, SAS, SPSS, R, Excel, Experimentation, Data Analysis, Optimization, Modeling, Dashboarding, Digital Marketing, Numerical Reasoning, Analytical Skills, Intellectual Curiosity",Other,agoda,manchester england united kingdom
"Diagnostic and Statistical Manual of Mental Disorders (DSM), Infant and early childhood models of care, Therapeutic interventions, Traumainformed therapies, Organizational skills, Decision making, Critical thinking, Analytical skills, Coaching, Leadership, Conflict resolution, Interpersonal effectiveness, Accountability, Professional boundaries, Bachelor in psychology or relevant field, Master's Degree required, LICSW LMFT Licensed Psychologist or LPCC, Inservice training/education, Motor Vehicle Check, Background check, Active and good standing licensure, Licensure ethics and regulations, Adherence to licensure ethics and regulations",Other,lutheran social service minnesota,st paul mn
"Physical Therapist Assistant, PTA, PRN, North Carolina PTA license",physical therapist assistant pta prn prn,broad river rehab,kinston nc
"Financial services, Markets, Investment, Financial solutions, Client relationships, Critical thinking, Ambition, Selfmotivation, Commitment, Performance, Compensation, Human Rights Campaign Foundation's 2022 Corporate Equality Index (CEI), Training magazine's prestigious 2022 Training Top 100 list, J.D. Power U.S. Financial Advisor Satisfaction Study",Other,edward jones,douglasville ga
"Game Design, Game Loops, User Generated Content Systems, Systems Design, Progression Design, Gameplay Design, Unity, Rapid Prototyping, Mobile Games, F2P Games, Computer Science Concepts (Classes Functions Booleans Loops), Startup Environment, User Generated Content Games, STEM Education, Autonomy, SelfDirection, Communication, Authenticity, Accountability, Collaboration, Iteration, ProblemSolving, HandsOn Experience, Passion for Games",Other,Other,seattle wa
"3D CAD (SolidWorks Solid Edge Inventor Creo NX CATIA), Machine Design, 2D Drawings, Assembly Drawings, BOMs, SolidWorks 2021, PDM Vault Management, Fabrication Techniques, Machining Techniques, Assembly Techniques, Communication Skills, Requirements Gathering, Design Verification, Stainless Steel, Hydraulics, Pneumatics",mechanical design engineer,Other,biggleswade england united kingdom
"Overnight shift supervision, Incident/Accident Reports, Informational reports, Therapeutic Crisis Intervention (TCI), Physical restraints, Fire drills and evacuation, Transportation of residents, Inservice training sessions, LMS trainings, Childcare, High School Diploma, N.Y.S. Drivers License, Physical/mantoux testing, TCI training, TCI refreshers, Equal opportunity employer, Client safety, Abuse screening and training",residential counselor,sco family service,huntington station ny
"Obstetrics, Gynecology, Surgical care, Labor management, Teaching, Leadership, Maternity care, Deliveries, Residents, Residency program, Family Medicine Residency Program, Family Physician faculty, Family Medicine Residents, Attending Physicians, Medical practice, Surgery, Teaching, Clinical practice, Benefits package, Salary, Incentives, Bonus",Other,practicelink,evansville
"Java, Scala, Hive, Hadoop Distributed File System (HDFS), Unix shell scripting, SQL, Statistical analysis methods, Consumer data research and analysis, Data warehouse, Data definitions, Database files, Complex data sets, Communication skills, Analytical skills, Data analysis tools",Other,jm group,toronto ontario canada
"Management, Bartending, Staff Training, Incident/Accident Reporting, Equipment Repair Reporting, Ordering, Inventory Management, Cleanliness and Organization, Health Department Compliance, Game Repair, Craft Beer Knowledge, Vintage Arcade Game Interest, Hospitality, Customer Service, Attention to Detail, Organizational Skills, Physical Strength, Bartenders, Barbacks, Line Cooks, Dishwashers, Cleaning Crew",Other,,new york ny
"Fire alarm installation, Fire alarm maintenance, Fire alarm programming, Fire alarm repair, Fire alarm inspection, Fire alarm systems, EST, Notifier, Firelite, FCI, Silent Knight, State of Texas issued Fire Alarm License (FAL), NICET certification, Fire Extinguisher license, Security experience, Commercial, Industrial, Construction, Manufacturing, Healthcare, Education, Government facilities",fire alarm technician,firetrol protection system,temple tx
"Visual concept development, Materials production, Interdisciplinary collaboration, Time management, Continuous improvement, Creativity, Technical knowledge, Effective communication, Adaptability, Superior degree, Expert level experience, Graphic design, Art, Design, Creative, Visual elements, Visual strategy, Visual identity, Visual coherence, Graphic materials, Digital materials, Print materials, Marketing teams, Communications teams, Sales teams, Deadlines, Deliverables, Design trends, Technologies, Tools, Innovation, Digital media, Print media, English classes, Opportunity to continue studies",Other,newcity medical plaza,tijuana baja california mexico
"IT Recruitment, Contract Recruitment, Talent Acquisition, Tech Recruitment, Digital Recruitment, Business Change Recruitment, Building Relationships, Sourcing Candidates, Screening Candidates, Assessing Candidates, IT Contract Roles, Networking, Communication, Negotiation, Attention to Detail, Planning, ResultsDriven, Team Work, Market Trends, Industry Developments, Resourcing Needs, Metrics Tracking, Talent Management, Workforce Planning",recruitment consultant,maxwell,Other
"Communication, Problem solving, Decision making, Ability to adapt, Ability to promote and sell, Ability to interact with guests, Ability to use technology, Ability to work independently and with a team, Ability to handle cash register operations, Ability to work outdoors in various climates, Ability to scan handle and move merchandise, Ability to work flexible schedule, Ability to handle cash register operations, Ability to work in various climates, Ability to scan and move merchandise, Attention to detail, Multitasking, Willingness to learn and adapt, Handle cash and operate cash register, Lift and move merchandise up to 15 pounds, Lift and move merchandise up to 40 pounds, Flexible work schedule, Regular attendance, Handle cash register operations, Work outdoors in various climates, Scan handle and move merchandise, Work both independently and with a team",guest advocate cashier front store attendantcart attendant,target,saratoga spring ny
"Registered Nurse, MedicalSurgical",rn medsurg,bluebird staffing,birmingham al
"Highschool Diploma, Ability to make decisions, Planning and scheduling, Reading writing and basic math, Long term and shortterm memory, Cleaning, Maintenance, Inspection, Laundry, Linen and towel handling, Detergent and cleaning agents handling, Inventorying, Maintenance issue reporting, Core values: Integrity Pride Quality Dependability and Respect, Efficiency and quality, Safety awareness, Willingness to perform all duties, Promptness, Customer service, Resort knowledge, Cleanliness and customer focus, Motivational skills, Irregular hours, Equal employment opportunities (EEO)",temporary housekeeping service attendant global associate,mastercorp inc,myrtle beach sc
"RN clinical license, Spanish language, Direct employee management, Medical clinic oversight, Healthcare delivery, Budgetary guidelines, Goal setting, Consensusbuilding, Wellness promotion, Chronic condition management, Patient communication, Clinician communication, Client communication, Colleague communication, Vendor communication, Personnel communication, Written communication, Verbal communication, Accuracy, Thoroughness, Professionalism, Highservice attitude",Other,Other,hanover pa
"Nursing, Patient Care, Medical Assessment, Plan of Care, Medication Administration, Pain Management, Abuse Assessment, Safety and Infection Control, Quality Improvement, Communication, Teamwork, AgeAppropriate Care, CostEffective Services, Infection Control, Hand Hygiene, Safe Patient Handling, Blood Borne Pathogens, Annual Mandatory Requirements, Performance Improvement, Patient Education, RN licensure in the State of Missouri, Basic Life Support (BLS), Hygiene, Documentation, Restraint Care, Collaboration, Reporting, Patient Safety, Critical Thinking, ProblemSolving, DecisionMaking, Teamwork, Professionalism, Ethics, Research, EvidenceBased Practice, Cultural Competency, Communication, Compassion, Respect, Accountability, Advocacy, Leadership, Conflict Resolution, Time Management, Stress Management, Physical Examination, Clinical Judgment, Risk Assessment, Patient Advocacy, Cultural Sensitivity, Communication Skills, ProblemSolving Skills, Teamwork Skills, Critical Thinking Skills, Research Skills, EvidenceBased Practice, CPR",Other,ssm health,greater st louis
"Registered Nurse Level I II III or IV, CPR, Advanced Cardiac Life Support (ACLS), Communication, Teamwork, Diversity, Inclusion",registered nurse cath lab,Other,fresno ca
"ACLS, BLS, Nursing, RN License, Patient care, Care coordination, Communication, Teamwork, Time management, Problemsolving, Critical thinking, Attention to detail, Computer skills, Electronic health records, HIPAA compliance, Professional development",Other,steward health care,brockton
"Information Technology, Computer Science, Information Security, Systems Administration, Windows, TopSecret Clearance, IAM Level III, SAP/SCI, Risk Management Framework (RMF), Certification, Accreditation, Information Systems, Scanning/Auditing Tools, Server Configuration, Computer Networks, Networking Encryption, eMASS, RMF Accreditation Packages, Artifact Management, Point of Contact (POC), Technical Problem Resolution, Verbal Communication Skills, Written Communication Skills",information system security manager issm,tsc,silver spring md
"BLS, ACLS, PALS, TNCC, NIH, TravelContract Nursing, Weekly pay, Holiday Pay, Generous Housing, Travel Stipends, Personal Assistance, Referral bonuses, Medical benefits, Dental benefits, Vision benefits",rn icu,travelnursesource,seattle wa
"Nursing, Wound Care, Patient Care, Nursing Process, Nursing Care Plan, Nursing Diagnoses, Nursing Interventions, Nursing Outcomes, Teaching Plans, Patient Education, Emotional Support, Care Coordination, Delegation of Care, Quality of Care, Patient Safety, Communication Skills, Leadership Skills, Best Practices, Process Improvement, Payroll, Productivity Reports, Employee Counseling, Interviewing, Performance Appraisal, Personnel Files, Occurrence Reports, Investigations, Coaching, Supervision, Policy Development, Procedure Development, Resource Management, Medical Devices, Equipment Management, Staffing Requirements, Mission and Vision Support, Accredited School of Professional Nursing, Bachelors of Science in Nursing (BSN), Wound Care Experience, Charge Nurse Experience, Supervisory Experience, Registered Nurse (RN) License, BLS Provider Certification, Certified Wound Care Specialist (CWCS), Wound Ostomy Continence Nurse (WOCN)",wound care coordinator registered nurse,medical city dallas,rowlett tx
"Photography, Adobe Photoshop, InDesign, Illustrator, Freehand, Photo Editing, Military Aircraft Photography, Strenuous Physical Activity",Other,ladgov corporation,fort benning ga
"Field Service, Network Support, Hardware Support, Software Support, Troubleshooting, Escalation, Asset Management, License Management, Capacity Planning, Performance Indicators, Desktop and Laptop Repair, Hardware Configuration, Database Maintenance, Applications Training, Installation and Upgrade, Antivirus Protection, Patch Management, Data Encryption, User Administration, Communication, Prioritization, Customer Service, CompTIA, HDI, Microsoft, Windows, MacOS, Linux, TCP/IP, DNS, VPN, ITIL, Change Management",Other,rwjbarnabas health,livingston nj
"LPN License, CPR Certification, Pediatrics Experience, Patient Care, Medication Administration, Treatment Administration, Therapy Administration, Health Promotion, Family Training, Electronic Charting, Flexible Scheduling, FullTime or Salaried Positions",aveanna healthcare private duty nurse lpn aveanna,health ecareers,Other
"Teaching certificate, CPR/AED certification, Knowledge of district policies and procedures, Organizational skills, Collaboration skills, Verbal communication skills, Ability to learn and adapt, Planning and time management, Coaching skills, Ability to assess player strengths and weaknesses, Ability to develop practice schedules, Ability to create improvement plans, Ability to determine game strategy, Ability to establish standards of behavior, Conflict resolution, Monitoring academic performance, Emergency procedures, Injury management, Communication with parents and guardians, Compliance with regulations, Sportsmanship and conduct, Equipment care and maintenance, Record keeping, Nondiscriminatory practices, Professional development, Inspection of facilities, Supervision of events, Ability to lift up to 75 pounds, Visual acuity, Physical agility",Other,Other,harvard il
